name,region,width,geometry
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55403,51.38806],[0.55385,51.38803]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55428,51.38854],[0.55445,51.38842]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55445,51.38842],[0.55458,51.38828]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55458,51.38828],[0.55471,51.38816]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55471,51.38816],[0.55403,51.38806]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5542,51.38836],[0.55445,51.38842]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55403,51.38806],[0.55471,51.38816]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55646,51.38792],[0.55641,51.38765]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.55629,51.3891],[0.55437,51.39054]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56021,51.39338],[0.5602,51.39309]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56203,51.394],[0.56209,51.39397]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56209,51.39397],[0.5622,51.39384]]}"
,Medway,0,
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5632,51.3942],[0.56357,51.39418]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56357,51.39418],[0.56404,51.39455]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56404,51.39455],[0.56357,51.39418]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.56412,51.39472],[0.56408,51.39464]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.56408,51.39464],[0.56404,51.39455]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.56414,51.39472],[0.56408,51.39464]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.57083,51.39154],[0.57119,51.39191]]}"
